Time,True Height,Error Height,True Pitch,Desire Pitch,True Pitch Rate,Desire Pitch Rate,True Elevator Pos,Desire Elevator Pos,Horizontal Vel,Vertical Vel,Flight Path Vel,Distance to Runway Start
0,0.000000,0.000000,0.000000,-inf,-0.000000,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
300,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
600,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
901,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
1201,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
1501,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
1801,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
2101,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
2402,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
2702,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3002,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3302,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3602,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3903,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
4203,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
4503,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
