Time,True Height,Error Height,True Pitch,Desire Pitch,True Pitch Rate,Desire Pitch Rate,True Elevator Pos,Desire Elevator Pos,Horizontal Vel,Vertical Vel,Flight Path Vel,Distance to Runway Start
0,0.000000,0.000000,0.000000,-inf,-0.000000,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
301,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
601,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
901,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
1201,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
1501,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
1801,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
2102,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
2402,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
2702,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3002,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3303,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3603,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3903,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
4203,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
4504,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
4804,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
5104,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
5404,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
5705,4.991000,-0.138899,-0.045881,0.000000,-0.356131,0.137643,0.000000,0.148132,15.000000,0.000000,15.000000,-50.391000
6005,4.868041,-0.562970,-0.047022,-0.004167,0.002934,0.128566,0.019862,0.037690,14.900831,-0.429190,14.907011,-44.709870
6305,4.782980,-0.747167,-0.050317,-0.016889,-0.011192,0.100282,0.015591,0.033442,14.848436,-0.495707,14.856708,-41.913526
6605,4.567602,-1.091814,-0.056112,-0.022415,-0.018055,0.101091,0.013682,0.035744,14.754544,-0.611836,14.767224,-36.097438
6905,4.438221,-1.244797,-0.064189,-0.032754,-0.023069,0.094302,0.012654,0.035211,14.719156,-0.701480,14.735862,-33.164980
7205,4.137419,-1.495877,-0.071656,-0.037344,-0.020885,0.102939,0.013564,0.035205,14.679475,-0.844881,14.703769,-27.433468
7506,3.962948,-1.601198,-0.079598,-0.044876,-0.020674,0.097636,0.012400,0.035493,14.673222,-0.927216,14.702489,-24.527710
7806,3.567167,-1.766530,-0.086222,-0.048036,-0.014333,0.109618,0.013856,0.037185,14.689922,-1.066578,14.728591,-18.700331
8106,3.351469,-1.829665,-0.092152,-0.052996,-0.010638,0.113544,0.012533,0.037255,14.710257,-1.130641,14.753644,-15.804536
8406,2.877824,-1.926571,-0.095037,-0.054890,-0.004118,0.120441,0.014698,0.037368,14.772892,-1.214111,14.822699,-9.879138
8706,2.643915,-1.964675,-0.096869,-0.057797,-0.004907,0.117215,0.013466,0.036636,14.808025,-1.238971,14.859767,-7.054170
9006,2.156222,-2.031655,-0.098056,-0.058940,-0.001957,0.117348,0.013478,0.035791,14.886028,-1.270206,14.940123,-1.293673
9306,1.911650,-1.911650,-0.090095,0.055822,0.206920,0.437752,0.012403,0.069250,14.925845,-1.279110,14.980553,1.568288
9607,1.495271,-1.495271,-0.060962,-0.053953,0.074934,0.021027,0.031359,-0.016172,14.955672,-0.753537,14.974643,7.550196
9907,1.356124,-1.356124,-0.062582,-0.063098,-0.059062,-0.001548,0.010486,0.017254,14.920846,-0.684511,14.936539,10.552848
10207,1.039627,-1.039627,-0.074603,-0.016407,-0.024495,0.174587,0.008074,0.059725,14.878876,-0.908968,14.906615,16.480860
10507,0.853161,-0.853161,-0.072860,-0.014999,0.023991,0.173583,0.017159,0.044878,14.875827,-0.925003,14.904559,19.471163
10807,0.503302,-0.503302,-0.068075,-0.034904,0.007314,0.099516,0.017423,0.027661,14.857510,-0.829018,14.880621,25.418754
11107,0.339358,-0.339358,-0.069295,-0.034635,-0.011522,0.103982,0.014006,0.034651,14.841627,-0.826826,14.864640,28.373810
11408,0.038665,-0.038665,-0.005247,-0.225614,-0.267798,-0.661101,0.015496,-0.117991,13.973424,0.055362,13.973534,34.238972
11708,0.041126,-0.041126,-0.028502,-0.201107,-0.026003,-0.517815,-0.069606,-0.147544,13.324484,0.005533,13.324485,36.956341
12008,0.042804,-0.042804,-0.034721,-0.201254,0.003675,-0.499599,-0.140984,-0.150982,10.636170,0.005786,10.636172,41.503299
12308,0.042840,-0.042840,-0.033647,-0.200570,0.025085,-0.500770,-0.157901,-0.157757,9.005465,0.002852,9.005465,43.448505
12608,0.041177,-0.041177,-0.023928,-0.199159,0.066717,-0.525692,-0.178474,-0.177723,5.727397,-0.004471,5.727399,46.377255
12908,0.038641,-0.038641,-0.003850,-0.196741,0.015565,-0.572737,-0.191605,-0.176491,4.221859,-0.016296,4.221891,47.311950
13209,0.037697,-0.037697,-0.003843,-0.200720,0.022078,-0.590632,-0.207813,-0.183813,0.758515,0.003101,0.758521,48.282604
13509,0.037698,-0.037698,-0.003851,-0.200842,-0.002909,-0.590972,-0.206455,-0.176419,0.000128,0.004211,0.004213,48.311894
13809,0.037698,-0.037698,-0.003851,-0.201138,-0.001532,-0.591860,-0.199625,-0.177098,0.000055,0.004931,0.004933,48.311920
14109,0.037698,-0.037698,-0.003851,-0.200999,-0.001262,-0.591444,-0.198980,-0.177055,0.000049,0.004996,0.004999,48.311933
14409,0.037698,-0.037698,-0.003851,-0.201006,-0.001204,-0.591463,-0.198591,-0.177078,0.000045,0.005030,0.005045,48.311959
14709,0.037693,-0.037693,-0.003851,-0.198991,-0.001187,-0.585420,-0.198364,-0.175270,0.000092,-0.005043,0.005076,48.311973
15010,0.037689,-0.037689,-0.003851,-0.198988,-0.001187,-0.585411,-0.196950,-0.175267,0.000093,-0.005059,0.005241,48.312000
15310,0.037687,-0.037687,-0.003849,-0.200997,-0.001214,-0.591444,-0.196756,-0.177069,0.000046,0.004987,0.005430,48.312014
15610,0.037653,-0.037653,-0.003845,-0.200389,-0.010640,-0.589631,-0.197839,-0.173698,0.000363,0.002164,0.002200,48.312050
15910,0.037653,-0.037653,-0.003846,-0.201617,-0.009715,-0.593313,-0.196609,-0.175079,-0.000283,0.008087,0.008093,48.312061
16211,0.037654,-0.037654,-0.003846,-0.200077,-0.010640,-0.588694,-0.196275,-0.173416,-0.000075,0.000943,0.000959,48.312079
16511,0.037654,-0.037654,-0.003824,-0.200003,0.027944,-0.588536,-0.197197,-0.184944,0.000005,0.000015,0.000113,48.312076
